796 ,bengkak           ,abuh
797 ,terbengkalai      ,kethetheran
798 ,bengkel           ,bengkel
799 ,bengkok           ,bengkok
800 ,bengkuang         ,bengkoang
801 ,bengkudu          ,pace
802 ,bengong           ,mlongo
803 ,benih             ,winih
804 ,bening            ,bening
805 ,benjol            ,benjol
806 ,bentak            ,sentak
807 ,dibentak          ,disentak
808 ,membentak         ,nyentak
809 ,membentang        ,bentang
810 ,sebentar          ,sadhelat
811 ,bentrok           ,tawur
812 ,bentuk            ,wujud
813 ,bentul            ,tales
814 ,bentur            ,tubruk
815 ,benturan          ,tubrukan
816 ,dibenturkan       ,ditubrukaké
817 ,terbentur         ,ketubruk
818 ,membentur         ,nubruk
819 ,benua             ,bawana
820 ,benyek            ,mlenyeh
821 ,beo               ,beo
822 ,beol              ,bebucal
823 ,berahi            ,brahi
824 ,berak             ,bebucal
825 ,beranda           ,pendhapa
826 ,berandal          ,brandhal
827 ,berang            ,muring
828 ,berang            ,berang-berang
829 ,berangasan        ,brangasan
830 ,berangkat         ,mangkat
831 ,berangus          ,brangus
832 ,berani            ,wani
833 ,pemberani         ,kendel
834 ,berantakan        ,ambyar
835 ,berantam          ,gelut
836 ,berantas          ,brantas
837 ,berapa            ,pinten
838 ,seberapa          ,sepira
839 ,beras             ,beras
840 ,beras ketan       ,beras ketan
841 ,berat             ,abot
842 ,memberati         ,ngeboti
843 ,keberatan         ,kabotan
844 ,bercak-bercak     ,totol-totol
845 ,berdiri           ,ngadeg
846 ,berengut          ,mrengut
847 ,beres             ,rampung
848 ,berewok           ,bréwok
849 ,bergedel          ,bregedel
850 ,berhala           ,brahala
851 ,beri              ,paringi
852 ,diberikan         ,diwenehake
853 ,memberi           ,maringi
854 ,pemberian         ,paringan
855 ,beri-beri         ,bèri-bèri
856 ,beringas          ,galak
857 ,berisik           ,gemrenggeng
858 ,berita            ,warta
859 ,berkat            ,berkat
860 ,berlian           ,barlian
861 ,beirisi           ,mentes
862 ,berontak          ,brontak
863 ,bersih            ,resik
864 ,membersihkan      ,ngresiki
865 ,kebersihan        ,karesikan
866 ,bersih-bersih     ,reresik
867 ,bersin            ,wahing
868 ,beruang           ,beruang
